ts,Boiler B1 Power,Boiler B2 Power,Boiler B3 Power,Gasifier Steam Power,Cogen Steam Power,Cogen HW Power,AFS HW Power,Cogen Economizer Stage 1,Cogen Economizer Stage 2,Gasifier Economizer Stage 1,Gasifier Economizer Stage 2
2020-10-03T00:00:00-07:00 Los_Angeles,0MW,0.10000000149011612MW,4.82292837243941MW,1.96295680628585E-4MW,0.13424728758990198MW,0.13472176273353398MW,"","","","",""
2020-10-04T00:00:00-07:00 Los_Angeles,0MW,0.10000000149011612MW,4.800000190734863MW,0MW,0.1525978147983551MW,0.15313734114170074MW,"","","","",""
2020-10-05T00:00:00-07:00 Los_Angeles,0MW,0.10000000149011612MW,5.782525599615441MW,8.054402443728274E-5MW,0.2745935091759451MW,0.14592370177790553MW,"","","","",""
2020-10-06T00:00:00-07:00 Los_Angeles,0MW,5.562099557139186MW,3.285384310690547MW,1.2337756769637863E-4MW,0.3365967771496233MW,0.17317757095731964MW,"","","","",""
2020-10-07T00:00:00-07:00 Los_Angeles,2.7482049165353937MW,5.172618078045481MW,0.31483796886677207MW,6.19212975531506E-5MW,0.3341252520688806MW,0.14525772879426196MW,"","","","",""
2020-10-08T00:00:00-07:00 Los_Angeles,7.059248956686442MW,0.2052175979096339MW,0.4178935286568271MW,1.2020165770435496E-4MW,0.2793270514054223MW,0.1336830044708525MW,"","","","",""
2020-10-09T00:00:00-07:00 Los_Angeles,9.116846207501718MW,0.2578379642397717MW,0.009665509094656617MW,2.3094642058986713E-4MW,0.3178639829789093MW,0.16353000016262134MW,"","","","",""
2020-10-10T00:00:00-07:00 Los_Angeles,9.1275314391763MW,0.20000000298023224MW,0MW,1.9625817599925693E-4MW,0.20338444561796035MW,0.15085977525381306MW,"","","","",""
2020-10-11T00:00:00-07:00 Los_Angeles,11.518635576058324MW,0.9272245508961865MW,0MW,1.0567234006468122E-4MW,0.35219032630107844MW,0.15753019171441401MW,"","","","",""
2020-10-12T00:00:00-07:00 Los_Angeles,11.632960833476659MW,0.23831250538532106MW,0MW,3.5899401063943504E-4MW,0.38501583105909293MW,0.11249087241496018MW,"","","","",""
2020-10-13T00:00:00-07:00 Los_Angeles,11.56007660615223MW,1.9079352185661314MW,0MW,0.3818374102348806MW,0.7396701398084837MW,0.19400082725100215MW,"","","","",""
2020-10-14T00:00:00-07:00 Los_Angeles,11.487639070970035MW,1.2189271074671437MW,0MW,0.16438208406860078MW,0.8063603986365099MW,0.19433741744952635MW,"","","","",""
2020-10-15T00:00:00-07:00 Los_Angeles,11.936111323866577MW,3.1270034956238755MW,0MW,0MW,0.9575184077555658MW,0.21919478214501092MW,"","","","",""
2020-10-16T00:00:00-07:00 Los_Angeles,13.947827573871171MW,0.45462500045076015MW,0MW,0MW,1.0988728078751375MW,0.25851154708872653MW,"","","","",""
2020-10-17T00:00:00-07:00 Los_Angeles,12.010781437776707MW,0.7286956302745753MW,0MW,0.001906530155489842MW,0.8949627758815769MW,0.16143281194105472MW,"","","","",""
2020-10-18T00:00:00-07:00 Los_Angeles,12.197721255234MW,1.3807303449909925MW,0.009681712798084373MW,0MW,0.9337351522677474MW,0.15985607278766106MW,"","","","",""
2020-10-19T00:00:00-07:00 Los_Angeles,11.049363631815817MW,3.2275926485652526MW,0MW,0MW,0.89634416812134MW,0.18981573274557442MW,"","","","",""
2020-10-20T00:00:00-07:00 Los_Angeles,10.036902944401458MW,4.575731535459764MW,0MW,0MW,0.8260167246422282MW,0.20142883326237404MW,"","","","",""
2020-10-21T00:00:00-07:00 Los_Angeles,10.069723549043701MW,5.670247779783998MW,0.015239583663642408MW,0MW,0.8520458883254066MW,0.2021378763477076MW,"","","","",""
2020-10-22T00:00:00-07:00 Los_Angeles,8.652017532688713MW,6.72851746464493MW,2.1219803669846935MW,0MW,0.9292213785965685MW,0.22862254328370368MW,"","","","",""
