ts,Belkin Art Gallery,Brimacombe-QMI,CCM,CICSR,Forest Sci,Hebb,Koerner Library,Life Sci,Longhouse,MOA,Pacific Res - Sturgeon House,Pacific Res - Orca House,Parc Library,SPPH,UBC Tennis Centre (New),Allard Hall,Art Students Centre,Biomed,Bookstore-NCE,Brock South,Chem Centre,Coal & Mineral,EOS,Food & Beverage Innovation Centre,Michael Smith,Pharmacy,Pulp & Paper,Tall Wood,ULTL,AERL,Alumni Centre,AMS Nest,Bio Sci South,Bio Sci West,BRDF,Buchanan Tower,Chan Centre,CIRS,ESB,FNH,Iona,Orchard Commons,Ponderosa North,Doug Mitchell Thunderbird Sports Centre
2018-11-05T00:00:00Z Rel,"","",208.52536439895627kW,285.05982557932543kW,677.8126220703125kW,54.29050827026367kW,190.20219540596008kW,2499.486328125kW,28.411438127358757kW,248.4526693026224kW,"","","",145.37119801839194kW,158.47613525390625kW,"","",167.2804899215698kW,131.201011021932kW,"",579.5216547648109kW,42.84892686208089kW,328.2718160947164kW,"",602.0869776407877kW,1574.83642578125kW,44.25355654954912kW,177.86224063237518kW,"",51.63586147626242kW,78.11172727743791kW,399.09742085138953kW,380.4210522969564kW,448.737164179484kW,330.517578125kW,84.98866236209871kW,157.49635314941406kW,89.92562059561406kW,488.8934027353923kW,155.95562879244488kW,"",705.9586728413901kW,378.6177755991615kW,632.9561468760173kW
2018-11-06T00:00:00Z Rel,"","",211.3637909889221kW,283.8439092636109kW,680.5589599609375kW,54.29050827026367kW,197.73353656133014kW,2435.42578125kW,29.535482545693707kW,267.069986820221kW,"","","",145.85200746854153kW,158.13221740722656kW,"","",166.06898848215735kW,129.32058644294742kW,"",580.7929935455322kW,41.81885896126431kW,341.60542901357024kW,"",579.9659690856935kW,1565.084716796875kW,43.83328650395076kW,188.85171159108475kW,"",49.92130802075069kW,81.45821607112885kW,395.5024774869282kW,379.96036020914704kW,447.4817746480305kW,324.1934509277344kW,88.99056259791057kW,146.0774383544922kW,89.96093948682149kW,480.9739375114441kW,157.31852412223816kW,"",715.3209972381595kW,393.8875872294109kW,641.3466253280639kW
2018-11-07T00:00:00Z Rel,"","",212.37121391296384kW,285.323358376821kW,661.6181640625kW,54.29050827026367kW,199.20287879308066kW,2473.3330078125kW,34.152533392111444kW,275.1016500790913kW,"","","",144.172572294871kW,159.97109985351562kW,"","",169.26154597600296kW,129.33206868171692kW,"",579.2199497222899kW,45.01050074895223kW,359.75313663482666kW,"",581.2563848495487kW,1579.846923828125kW,54.72590905427933kW,191.8979835510254kW,"",49.810540974140174kW,83.57990332444508kW,387.19509935379045kW,379.30579853057844kW,445.1527557373048kW,333.7234802246094kW,93.70082346598308kW,146.79339599609375kW,89.94672481218967kW,493.3256823221842kW,155.83844606081644kW,"",719.8985036214192kW,391.33556906382233kW,621.0773169199628kW
2018-11-08T00:00:00Z Rel,"","",211.80026515324914kW,286.82282670338947kW,678.1429443359375kW,54.29050827026367kW,202.8698585033418kW,2415.02587890625kW,39.440503815809876kW,281.81362072626746kW,"","","",145.36043183008826kW,160.22369384765625kW,"","",164.91740655899054kW,129.75754531224575kW,"",583.7601693471274kW,42.636072059472404kW,367.6792564392089kW,"",584.5159422556561kW,1653.4725341796875kW,66.86454772949219kW,202.09476248423243kW,"",49.24645350376765kW,81.26763478914899kW,389.1997300783793kW,386.13420931498223kW,457.1587486267091kW,337.9635314941406kW,91.96433472633363kW,182.65676879882812kW,94.87336448828383kW,502.9675064086916kW,158.8589065074921kW,"",739.0807895660403kW,397.14110565185547kW,591.4543307622274kW
2018-11-09T00:00:00Z Rel,"","",211.31126387914028kW,280.7795688311259kW,691.1991577148438kW,54.29050827026367kW,197.69904510180163kW,2356.343505859375kW,35.73966511090597kW,279.81860653559363kW,"","","",140.00770211219782kW,159.537353515625kW,"","",158.139138619105kW,129.57111287117004kW,"",578.818384806315kW,52.79706267515818kW,362.11827437082917kW,"",583.3430290222168kW,1659.0048828125kW,66.86454772949219kW,217.1695693333945kW,"",50.228438297907495kW,83.51403276125588kW,389.51736783981323kW,387.19488970438647kW,456.8788744608562kW,337.606689453125kW,91.2156023979187kW,157.13314819335938kW,97.19851577281952kW,501.7250862121582kW,155.1340490182241kW,"",753.1054808298748kW,395.866519610087kW,610.6095495223999kW
2018-11-10T00:00:00Z Rel,"","",204.21711301803586kW,199.91048081715903kW,471.1826171875kW,54.29050827026367kW,158.01590124766037kW,1843.2470703125kW,22.87876307964325kW,271.55721314748126kW,"","","",113.96806502342227kW,158.14723205566406kW,"","",140.46881047884625kW,114.2866350809733kW,"",556.865266164144kW,39.148516555627175kW,302.09989802042634kW,"",502.44867897033697kW,1447.834228515625kW,66.86454772949219kW,200.13847017288217kW,"",33.78876664241156kW,70.89903386433922kW,277.30166594187403kW,372.9805825551349kW,409.0374596913657kW,314.9463195800781kW,83.15418680508928kW,198.31655883789062kW,92.76337202390037kW,461.26427555084246kW,127.94308845202131kW,"",660.768114089966kW,347.28279876708984kW,629.7222661972045kW
2018-11-11T00:00:00Z Rel,"","",204.01345300674436kW,198.72047011057532kW,487.7464294433594kW,54.29050827026367kW,147.828801314036kW,1890.40283203125kW,26.624142587184895kW,287.02298132578517kW,"","","",113.59541630744934kW,158.37789916992188kW,"","",146.18166716893518kW,113.62650895118712kW,"",557.6517925262452kW,39.62015946706135kW,315.66559727986663kW,"",475.4880412419637kW,1433.4241943359375kW,66.86454772949219kW,202.25000111262kW,"",37.40294835964839kW,71.62583959102629kW,249.68361806869504kW,373.5286579132081kW,413.29393672943115kW,333.6610107421875kW,51.799523194630964kW,109.37510681152344kW,92.30055753389995kW,472.4484135309854kW,127.36105759938559kW,"",668.9747276306155kW,359.0891068776448kW,573.9866263071697kW
2018-11-12T00:00:00Z Rel,"","",204.19056367874143kW,204.08736912409466kW,493.45330810546875kW,54.29050827026367kW,99.38202341397603kW,2023.37451171875kW,32.09125612179438kW,296.5813207626343kW,"","","",124.2989594936371kW,157.84426879882812kW,"","",153.88296890258792kW,117.73135932286581kW,"",562.9254773457844kW,42.78099350134531kW,329.6056439081829kW,"",501.7895600001018kW,1531.3106689453125kW,66.86454772949219kW,206.70154555638632kW,"",40.50437780221303kW,65.36407101154327kW,245.6255574226379kW,372.8584047953288kW,416.2672001520793kW,333.3295593261719kW,53.91468060016631kW,159.49563598632812kW,93.10906318823494kW,483.81275876363145kW,142.25231901804605kW,"",716.1834513346354kW,389.04369258880627kW,551.5484997431435kW
2018-11-13T00:00:00Z Rel,"","",207.49617528915414kW,287.0382003784179kW,684.451171875kW,54.29050827026367kW,193.75230169296262kW,2481.144775390625kW,42.83955405155815kW,313.42621501286817kW,"","","",146.8807288805644kW,157.60328674316406kW,"","",164.46440792083737kW,129.82926821708682kW,"",586.7988605499268kW,45.042945245901755kW,371.12170410156256kW,"",585.3489249547321kW,1595.225830078125kW,66.86454772949219kW,219.59498532613117kW,"",51.04428505897522kW,82.26305858294172kW,386.2867663701375kW,386.81319427490246kW,441.1905457178751kW,341.2927551269531kW,95.80976756413779kW,200.53427124023438kW,99.86664597193396kW,512.8478310902913kW,159.84616827964783kW,"",765.7268301645917kW,403.75093301137315kW,613.9184363683063kW
2018-11-14T00:00:00Z Rel,"","",208.58230765660593kW,276.4484841028849kW,689.82373046875kW,54.29050827026367kW,199.71145764986673kW,2547.390869140625kW,33.174291908741kW,278.5549187660216kW,"","","",144.27552612622574kW,158.0985107421875kW,"","",165.55041265487668kW,130.18890508015946kW,"",568.2422364552815kW,43.98783689737319kW,347.10954093933094kW,"",594.7404108047484kW,1599.174072265625kW,66.86454772949219kW,198.58051840464267kW,"",51.51774867375689kW,85.28930294513702kW,395.12817255655926kW,388.30058797200525kW,446.9069954554237kW,311.858642578125kW,93.77081123987838kW,156.5018768310547kW,92.55029257138573kW,493.12986437479657kW,162.26236057281494kW,"",747.5611502329508kW,397.3335434595745kW,647.5116682052613kW
2018-11-15T00:00:00Z Rel,"","",211.13973601659137kW,280.2478381792704kW,696.1799926757812kW,54.29050827026367kW,201.40475447972614kW,2464.525146484375kW,36.78368471066157kW,276.4822123845418kW,"","","",145.6934444109599kW,158.37530517578125kW,"","",165.02406374613443kW,130.1764950752258kW,"",583.5025552113851kW,45.006296078364066kW,340.36002731323254kW,"",592.939067522685kW,1580.8677978515625kW,66.86454772949219kW,195.93515841166175kW,"",49.731689731279985kW,86.95095749696092kW,404.8779991467794kW,388.14925257364894kW,450.4160671234131kW,300.4594421386719kW,91.61744022369385kW,148.06085205078125kW,93.37049639225008kW,492.25246143341064kW,163.7316746711731kW,"",739.1308523813888kW,399.94612661997473kW,662.7735280990602kW
2018-11-16T00:00:00Z Rel,"","",213.42304674784342kW,274.1138550440471kW,697.0581665039062kW,54.29050827026367kW,189.13219531377152kW,2473.072021484375kW,33.98819587628047kW,281.1677932739258kW,"","","",144.7868487040202kW,158.4679718017578kW,"","",160.47775665918994kW,129.3305953343709kW,"",582.9605763753256kW,48.692784249782555kW,330.0854760805766kW,"",582.145133972168kW,1550.632080078125kW,66.86454772949219kW,189.70827754338578kW,"",48.49489579598111kW,84.38581856091818kW,395.7886346181232kW,387.73812230428064kW,445.0101645787558kW,321.28265380859375kW,86.862180074056kW,165.29417419433594kW,91.90476377805074kW,492.1042168935141kW,159.62921730677286kW,"",690.8385906219484kW,386.4821100234986kW,651.6144332885742kW
2018-11-17T00:00:00Z Rel,"","",211.88480710983282kW,205.73296483357748kW,471.1054382324219kW,54.29050827026367kW,158.80681459108987kW,1903.61865234375kW,31.18161370356877kW,296.9720169703166kW,"","","",117.5942734877269kW,157.75634765625kW,"","",140.9377712408702kW,112.17227522532146kW,"",557.0515511830649kW,38.694424867630005kW,285.3241206804912kW,"",506.03196398417145kW,1467.8375244140625kW,66.86454772949219kW,197.56020037333167kW,"",33.14298013846079kW,80.38626714547478kW,280.7627914746602kW,372.1130800247193kW,418.31678136189777kW,315.6695861816406kW,74.55780092875166kW,186.44363403320312kW,84.46065855026245kW,480.37129561106383kW,128.5143397649129kW,"",658.7593599955239kW,359.97333017985017kW,613.5188020070394kW
2018-11-18T00:00:00Z Rel,"","",209.6674798329672kW,195.53720219930008kW,479.75885009765625kW,54.29050827026367kW,167.10946369171143kW,1966.3314208984375kW,27.291798094908405kW,299.4651880264282kW,"","","",116.72687633832295kW,157.49261474609375kW,"","",140.0716212590536kW,114.95498482386273kW,"",558.8131980895998kW,38.45658522844315kW,254.5566985607147kW,"",479.7932939529417kW,1416.9749755859375kW,66.86454772949219kW,203.16474771499637kW,"",34.52932292222976kW,72.54061822096507kW,263.2426220575968kW,368.81616433461505kW,412.11880874633783kW,320.2477111816406kW,75.00399001439412kW,181.41848754882812kW,85.44754103819528kW,481.2553730010985kW,126.84065469106041kW,"",684.1745154062905kW,363.38530254364014kW,577.1307004292806kW
2018-11-19T00:00:00Z Rel,"","",216.91578435897827kW,278.2927769025167kW,667.3865356445312kW,54.29050827026367kW,195.99208211898798kW,2471.96533203125kW,41.97541371981301kW,308.1098333994547kW,"","","",146.89260633786526kW,158.5712127685547kW,"","",163.96107673645025kW,131.60739787419632kW,"",576.1367823282876kW,47.60430149237317kW,365.2375211715698kW,"",591.2818279266355kW,1628.353759765625kW,66.86454772949219kW,203.66325330734256kW,"",51.464980483055115kW,80.95860056082414kW,380.9443915685016kW,381.52646350860607kW,454.59736188252754kW,357.6271057128906kW,90.11607925097148kW,160.6511993408203kW,98.82441695531207kW,528.5144723256428kW,155.32334025700888kW,"",745.4514859517415kW,395.82571474711096kW,582.1917839050293kW
2018-11-20T00:00:00Z Rel,"","",217.01232369740796kW,279.4937802950542kW,682.8204345703125kW,54.29050827026367kW,197.56821203231812kW,2475.4580078125kW,42.54238365093865kW,289.6738386154174kW,"","","",149.13898563385004kW,156.84988403320312kW,"","",168.42613013585404kW,129.99336457252502kW,"",578.0267696380616kW,44.95393989483516kW,360.3751996358235kW,"",591.5771732330321kW,1602.888427734375kW,66.86454772949219kW,199.07369867960614kW,"",49.98531919717789kW,83.83639581998185kW,389.7127356529235kW,377.3169066111247kW,446.4354483286541kW,329.2652282714844kW,89.92206144332886kW,155.98223876953125kW,94.42966337998706kW,522.2256272633872kW,152.95550870895391kW,"",742.0255781809486kW,403.0407311121622kW,566.4368502298988kW
2018-11-21T00:00:00Z Rel,"","",211.02131160100294kW,275.5621991157531kW,682.6528930664062kW,54.29050827026367kW,203.09531140327456kW,2483.15283203125kW,36.89852293332418kW,275.4323681195578kW,"","","",145.3659948507945kW,157.8457794189453kW,"","",165.55473073323557kW,131.86843538284305kW,"",582.0628369649253kW,43.17506663004558kW,344.26900863647455kW,"",599.0069691340127kW,1599.407958984375kW,66.86454772949219kW,199.78478733698526kW,"",50.315780997276306kW,83.10754843552905kW,396.20683129628515kW,377.12933794657386kW,446.1583127975464kW,321.124755859375kW,91.2949275970459kW,201.2141876220703kW,97.26707895596826kW,510.8989979426066kW,154.9119328657786kW,"",744.0900605519614kW,397.9236033757527kW,577.3349765141803kW
2018-11-22T00:00:00Z Rel,"","",208.69978666305548kW,277.26533317565924kW,679.500244140625kW,54.29050827026367kW,204.08534367879233kW,2477.13916015625kW,38.92984277009965kW,265.55622784296673kW,"","","",146.0586218833923kW,156.96304321289062kW,"","",166.6996757189433kW,132.25001279513035kW,"",579.0022265116373kW,42.08137277762094kW,343.5253070195518kW,"",589.9360745747882kW,1598.20556640625kW,66.86454772949219kW,207.82000160217285kW,"",49.06150994698205kW,81.2443215052287kW,395.48298390706395kW,387.55419921875kW,445.6522388458251kW,342.102294921875kW,90.28639070192973kW,173.71371459960938kW,95.37019407749179kW,491.7746620178223kW,155.4271846612294kW,"",744.6562881469728kW,403.4521621068318kW,574.0786428451538kW
2018-11-23T00:00:00Z Rel,"","",208.29059425989794kW,270.91542975107825kW,688.1824951171875kW,54.29050827026367kW,182.33857409159347kW,2421.7255859375kW,35.945361514886216kW,270.9260028203329kW,"","","",143.19029410680136kW,157.90786743164062kW,"","",161.63952827453608kW,129.05242753028867kW,"",583.7651011149088kW,48.721770326296514kW,345.7327013015747kW,"",582.8643236160278kW,1620.5794677734375kW,66.86454772949219kW,196.98073291778567kW,"",50.292083621025085kW,80.64516405264533kW,388.6323630015058kW,387.55419921875kW,442.77244154612225kW,346.5883483886719kW,89.722686847051kW,208.94834899902344kW,93.50071783860523kW,481.84042485555005kW,156.1683984597524kW,"",729.8660742441814kW,396.80076535542804kW,653.1481825510663kW
2018-11-24T00:00:00Z Rel,"","",205.76258277893066kW,205.48135423660275kW,474.61474609375kW,54.29050827026367kW,157.7741432984669kW,1815.5240478515625kW,23.80714017152786kW,281.86625893910724kW,"","","",112.97108546892804kW,157.23422241210938kW,"","",141.1351435184479kW,112.59597023328146kW,"",559.8986562093098kW,41.49085080623629kW,304.0148757298788kW,"",507.90561580657965kW,1473.1883544921875kW,65.98231256008148kW,204.71317402521757kW,"",38.82871677478153kW,76.21680351098382kW,282.1389552752178kW,387.55419921875kW,413.62965138753265kW,337.15887451171875kW,75.46225325266522kW,165.42213439941406kW,82.23245179653169kW,454.8070112864178kW,132.57435766855878kW,"",696.9215405782063kW,362.1035235722859kW,597.2986170450849kW
2018-11-25T00:00:00Z Rel,"","",205.91254599889123kW,205.31030337015787kW,480.78009033203125kW,54.29050827026367kW,160.7954710324605kW,1825.20458984375kW,25.276882012685128kW,279.7393398284912kW,"","","",112.37195293108618kW,149.48004150390625kW,"","",147.87775524457297kW,113.03796903292339kW,"",543.3525931040447kW,39.90822937091192kW,302.8609768549602kW,"",479.6524635950723kW,1397.3321533203125kW,26.481705228487662kW,228.83720795313513kW,"",35.49708990255992kW,72.98355766137442kW,277.0230412483216kW,387.55419921875kW,403.42199230194075kW,336.04974365234375kW,76.86467202504477kW,185.48797607421875kW,85.79705854256946kW,455.31114196777355kW,128.5447361469269kW,"",726.0246626536049kW,372.0151376724242kW,547.7555631001791kW
2018-11-26T00:00:00Z Rel,"","",210.6326897939046kW,286.47514947255456kW,686.2257690429688kW,54.29050827026367kW,191.7440237998962kW,2470.91845703125kW,36.77185902992885kW,272.0132131576538kW,"","","",144.15603645642605kW,161.70567321777344kW,"","",166.07447767257685kW,131.07621637980142kW,"",561.5739504496258kW,51.60956627130507kW,342.7625427246094kW,"",589.8315811157227kW,1616.8919677734375kW,43.74110865592956kW,218.0394115447997kW,"",52.04799993832905kW,82.07499818007152kW,382.53237835566193kW,387.55419921875kW,439.76401710510265kW,344.5421447753906kW,91.14667971928911kW,166.27615356445312kW,94.76716073354086kW,470.1907618840536kW,158.09070611000064kW,"",769.3617064158123kW,417.30588245391834kW,625.8046439488727kW
2018-11-27T00:00:00Z Rel,"","",208.2975457509359kW,283.31590048472094kW,698.8208618164062kW,54.29050827026367kW,209.17078351974493kW,2485.912353515625kW,33.445361693700164kW,276.53098122278857kW,"","","",144.17330837249756kW,160.58792114257812kW,"","",165.67549689610794kW,132.21911454200742kW,"",572.281951268514kW,44.53326517343522kW,327.2916555404663kW,"",587.1625680923462kW,1575.239501953125kW,40.95879077911376kW,183.09970680872595kW,"",51.03228859106701kW,81.73582839965817kW,391.92536767323804kW,387.55419921875kW,444.41049416859954kW,317.4419860839844kW,85.28107976913451kW,197.39169311523438kW,89.49538024266562kW,472.4327135086059kW,159.6794193585714kW,"",729.4206790924072kW,407.65732574462874kW,661.729877789815kW
2018-11-28T00:00:00Z Rel,"","",207.7893082300823kW,280.9097663561503kW,699.65625kW,54.29050827026367kW,210.30085484186816kW,2427.055419921875kW,37.15638369321823kW,274.61904239654547kW,"","","",139.08533962567648kW,161.58799743652344kW,"","",166.62290143966675kW,131.68810304005942kW,"",571.6960328420002kW,47.14554949601491kW,350.1522655487061kW,"",600.2763986587524kW,1580.890380859375kW,42.039970616499595kW,193.9781742095947kW,"",51.26797302563983kW,85.09860336780551kW,395.56885719299316kW,387.55419921875kW,448.49250125885kW,322.9058532714844kW,90.05967720349629kW,241.04837036132812kW,93.87927758693696kW,486.98735237121576kW,156.48662686347961kW,"",735.9193973541259kW,401.97158622741694kW,580.6841154098513kW
2018-11-29T00:00:00Z Rel,"","",233.34611352284747kW,282.70249096552527kW,688.544189453125kW,54.29050827026367kW,208.8456519444783kW,2455.623046875kW,44.617837409178435kW,289.6983210245769kW,"","","",138.71064496040339kW,160.70184326171875kW,"","",169.83932685852054kW,132.62747724850976kW,"",578.6006240844723kW,47.228960394859314kW,359.9876712163289kW,"",601.7518018086753kW,1597.9334716796875kW,43.5085546374321kW,198.74369096755981kW,"",49.536061684290566kW,87.19086345036821kW,396.9621545473734kW,387.55419921875kW,440.2774540583291kW,336.99517822265625kW,91.0394121805827kW,243.05499267578125kW,91.75641878445938kW,489.9477230707805kW,155.36273511250815kW,"",738.3129698435463kW,397.31611569722486kW,582.5541734695435kW
2018-11-30T00:00:00Z Rel,"","",251.36307287216187kW,275.6176745096844kW,672.94287109375kW,54.29050827026367kW,196.2566456000009kW,2434.76318359375kW,37.71340698003769kW,294.7910970052083kW,"","","",136.18235492706302kW,161.55081176757812kW,"","",163.17765283584592kW,129.87567718823746kW,"",564.2269910176598kW,48.08324166138967kW,350.6742820739746kW,"",591.3850854237872kW,1609.2203369140625kW,42.26980672279995kW,204.75466171900433kW,"",48.89682793617248kW,83.5322858095169kW,393.76104879379284kW,387.55419921875kW,438.24163977305096kW,339.54864501953125kW,89.67231051127118kW,248.52630615234375kW,93.92208663622536kW,491.62884553273506kW,156.19462347030637kW,"",738.1576728820797kW,402.96332327524823kW,574.4633890787763kW
2018-12-01T00:00:00Z Rel,"","",225.0133002599081kW,204.13393942515063kW,483.40948486328125kW,54.29050827026367kW,170.68491061528516kW,1893.177001953125kW,25.797024468580876kW,277.97692521413165kW,"","","",110.88337858517963kW,161.085693359375kW,"","",142.03961229324344kW,113.25194080670674kW,"",547.1941820780436kW,40.212996423244476kW,310.0029099782309kW,"",509.98014767964685kW,1462.7152099609375kW,31.159994939963024kW,216.395067691803kW,"",37.34140163660049kW,79.83095570405324kW,290.5831629435221kW,387.55419921875kW,426.36978785196925kW,343.68365478515625kW,74.64178609848024kW,213.3502960205078kW,90.82318357626599kW,458.97345097859704kW,126.07623569170634kW,"",696.8168589274089kW,377.39236354827864kW,543.3367176055907kW
